,Team,Opponent Team,Date,Site,Incident,Time,VAR used,Season,Type
370,Newcastle,Fulham,Dec. 19,H,Joachim Andersen sent off for denying a goal-scoring opportunity following challenge on Callum Wilson,62nd minute,FOR,2020-2021,SENT OFF
371,Newcastle,Sheffield United,Jan. 12,A,Penalty awarded (scored by Billy Sharp) for handball by Federico Fernandez,73rd minute,AGAINST,2020-2021,PENALTY
372,Newcastle,West Ham,April 17,H,Penalty awarded (scored by Jesse Lingard) for handball by Ciaran Clark,76th minute,AGAINST,2020-2021,PENALTY
373,Newcastle,Liverpool,April 24,A,Callum Wilson goal disallowed for handball,92nd minute,AGAINST,2020-2021,HANDBALL
374,Southampton,Man City,May 14,H,Penalty awarded (scored by Joelinton) after incorrect offside against Allan Saint-Maximin,45th minute,FOR,2020-2021,PENALTY
375,Southampton,Crystal Palace,Sept. 12,A,Red card for Kyle Walker-Peters rescinded,51st minute,FOR,2020-2021,CARD
376,Southampton,Tottenham,Sept. 20,H,Goal (scored by Harry Kane) disallowed for offside against Son Heung-Min,3rd minute,FOR,2020-2021,OFFSIDE
377,Southampton,Tottenham,Sept. 20,H,Penalty awarded (scored by Danny Ings) for handball by Matt Doherty,90th minute,FOR,2020-2021,PENALTY
378,Southampton,Aston Villa,Nov. 1,A,Ezri Konsa own goal disallowed for offside against Che Adams,3rd minute,AGAINST,2020-2021,OFFSIDE
379,Southampton,Brighton,Dec. 7,A,Penalty conceded (scored by Danny Ings) after Solly March adjudged to have fouled Kyle Walker-Peters inside the area,80th minute,FOR,2020-2021,PENALTY
380,Southampton,Fulham,Dec. 26,A,Goal (scored by Theo Walcott) disallowed for offside against Che Adams,85th minute,AGAINST,2020-2021,OFFSIDE
381,Southampton,Man United,Feb. 2,A,Penalty cancelled after Kayne Ramsay's foul on Edinson Cavani ruled outside the area,42nd minute,FOR,2020-2021,PENALTY
382,Southampton,Man United,Feb. 2,A,Goal for Che Adams disallowed for offside,53rd minute,AGAINST,2020-2021,OFFSIDE
383,Southampton,Man United,Feb. 2,A,Jan Bednarek sent off for denying an obvious goal-scoring opportunity,53rd minute,AGAINST,2020-2021,SENT OFF
384,Southampton,Leeds,Feb. 23,A,Penalty cancelled after Diego Llorente adjudged not to have fouled Nathan Tella,33rd minute,AGAINST,2020-2021,PENALTY
385,Southampton,Everton,March 1,A,Michael Keane goal disallowed for offside in the build-up against Mason Holgate,25th minute,FOR,2020-2021,OFFSIDE
386,Southampton,Burnley,April 4,H,Penalty awarded (scored by Chris Wood) for foul on Erik Pieters by Kyle Walker-Peters,8th minute,AGAINST,2020-2021,PENALTY
387,Southampton,Tottenham,April 21,A,Son Heung-Min goal disallowed for offside against Lucas Moura in the goalkeeper's line of vision,74th minute,FOR,2020-2021,OFFSIDE
388,West Ham,Tottenham,April 21,A,Penalty awarded (scored by Son Heung-Min) after foul by Moussa Djenepo on Sergio Reguilon adjudged to be inside the area,86th minute,AGAINST,2020-2021,PENALTY
389,West Ham,Leicester,Oct. 4,A,Jamie Vardy offside in build-up to Harvey Barnes goal,90th minute,FOR,2020-2021,OFFSIDE
390,West Ham,Liverpool,Oct. 31,A,Diojo Jota goal disallowed for a foul by Sadio Mane,82nd minute,FOR,2020-2021,FOUL
391,West Ham,Fulham,Nov. 7,H,Penalty awarded (missed by Ademola Lookman) for foul on Tom Cairney by Saïd Benrahma,95th minute,AGAINST,2020-2021,PENALTY
392,West Ham,Aston Villa,Nov. 30,H,Ollie Watkins goal disallowed for offside,92nd minute,FOR,2020-2021,OFFSIDE
393,West Ham,Leeds,Dec. 11,A,Penalty retaken (scored by Mateusz Klich) for encroachment by Lukasz Fabianski,6th minute,AGAINST,2020-2021,PENALTY
394,West Ham,Fulham,Feb. 6,A,Tomas Soucek sent off for elbow on Aleksandar Mitrovic,90th minute,AGAINST,2020-2021,SENT OFF
395,West Ham,Sheffield United,Feb. 15,H,Penalty cancelled after Craig Dawson ruled offside before being fouled by Edna Stevens,5th minute,AGAINST,2020-2021,PENALTY
396,West Ham,Tottenham,Feb. 21,H,Goal for Jesse Lingard allowed after incorrect offside,47th minute,FOR,2020-2021,OFFSIDE
397,West Ham,Leicester,April 11,H,Issa Diop goal ruled out for offside,54th minute,AGAINST,2020-2021,OFFSIDE
398,West Ham,Newcastle,April 17,A,Penalty awarded (scored by Jesse Lingard) for handball by Ciaran Clark,76th minute,FOR,2020-2021,PENALTY
399,West Ham,Chelsea,April 24,H,Fabian Balbuena yellow card upgraded to red for foul on Ben Chilwell,79th minute,AGAINST,2020-2021,FOUL
400,Tottenham Hotspur,Southampton,Sept. 20,A,Goal (scored by Harry Kane) disallowed for offside against Son Heung-Min,3rd minute,AGAINST,2020-2021,OFFSIDE
401,Tottenham Hotspur,Southampton,Sept. 20,A,Penalty awarded (scored by Danny Ings) for handball by Matt Doherty,90th minute,AGAINST,2020-2021,PENALTY
402,Tottenham Hotspur,Newcastle,Sept. 27,H,Penalty awarded (scored by Callum Wilson) for handball by Eric Dier,90th minute,AGAINST,2020-2021,PENALTY
403,Tottenham Hotspur,Brighton,Nov. 1,H,Penalty awarded (scored by Harry Kane) after foul on Kane by Adam Lallana adjudged to be inside the area,11th minute,FOR,2020-2021,PENALTY
404,Tottenham Hotspur,Brighton,Nov. 1,H,Goal for Tariq Lamptey stands after Graham Scott rejects VAR review for foul in the build-up by Solly March on Pierre-Emile Hojbjerg,56th minute,AGAINST,2020-2021,FOUL
405,Tottenham Hotspur,Man City,Nov. 21,H,Aymeric Laporte goal disallowed for handball by Gabriel Jesus,27th minute,FOR,2020-2021,HANDBALL
406,Tottenham Hotspur,Leicester,Dec. 20,H,Penalty awarded (scored by Jamie Vardy) after foul on Wesley Fofana by Serge Aurier,45th minute,AGAINST,2020-2021,PENALTY
407,Tottenham Hotspur,Leicester,Dec. 20,H,James Maddison goal ruled out for offside,47th minute,FOR,2020-2021,OFFSIDE
408,Tottenham Hotspur,Liverpool,Jan. 28,H,Son Heung-Min goal disallowed for offside in the build-up,3rd minute,AGAINST,2020-2021,OFFSIDE
409,Tottenham Hotspur,Liverpool,Jan. 28,H,Mohamed Salah goal ruled out for handball in the build-up by Roberto Firmino,56th minute,FOR,2020-2021,HANDBALL
410,Tottenham Hotspur,West Ham,Feb. 21,A,Goal for Jesse Lingard allowed after incorrect offside,47th minute,AGAINST,2020-2021,OFFSIDE
411,Tottenham Hotspur,Fulham,March 4,A,Josh Maja goal disallowed for handball in the build-up by Mario Lemina,64th minute,FOR,2020-2021,HANDBALL
412,Tottenham Hotspur,Man United,April 11,H,Edinson Cavani goal ruled out for foul on Son Heung-Min by Scott McTominay,33rd minute,FOR,2020-2021,FOUL
413,Tottenham Hotspur,Southampton,April 21,H,Son Heung-Min goal disallowed for offside against Lucas Moura in the goalkeeper's line of vision,74th minute,AGAINST,2020-2021,OFFSIDE
414,Tottenham Hotspur,Southampton,April 21,H,Penalty awarded (scored by Son Heung-Min) after foul by Moussa Djenepo on Sergio Reguilon adjudged to be inside the area,86th minute,FOR,2020-2021,PENALTY
415,Tottenham Hotspur,Sheffield United,May 2,H,Son Heung-Min goal disallowed for offside,50th minute,AGAINST,2020-2021,OFFSIDE
416,Tottenham Hotspur,Leicester,May 23,A,Penalty awarded (scored by Jamie Vardy) for foul on Vardy by Toby Alderweireld,16th minute,AGAINST,2020-2021,PENALTY
417,Wolves,Leeds,Oct. 19,A,Goal for Romain Saiss disallowed for offside in the build-up by Daniel Podence,54th minute,AGAINST,2020-2021,OFFSIDE
418,Wolves,Crystal Palace,Oct. 30,H,Penalty for Crystal Palace cancelled for offside against Patrick van Aanholt,38th minute,FOR,2020-2021,PENALTY
419,Wolves,Crystal Palace,Oct. 30,H,Luka Milivojevic sent off for a challenge on Joao Moutinho,85th minute,FOR,2020-2021,SENT OFF
420,Wolves,Leicester,Nov. 8,A,Penalty awarded (scored by Jamie Vardy) for handball by Max Kilman,14th minute,AGAINST,2020-2021,PENALTY
421,Wolves,Liverpool,Dec. 6,A,"Penalty cancelled, Sadio Mane adjudged not to have fouled Conor Coady",,AGAINST,2020-2021,PENALTY
422,Wolves,Chelsea,Dec. 15,H,Penalty cancelled for challenge on Pedro Neto by Reece James,81st minute,AGAINST,2020-2021,PENALTY
423,Wolves,Arsenal,Feb. 2,H,Bukayo Saka goal disallowed for offside in the build-up against Alexandre Lacazette,9th minute,FOR,2020-2021,OFFSIDE
424,Wolves,Man City,March 2,A,Gabriel Jesus goal allowed after incorrect offside,90th minute,AGAINST,2020-2021,OFFSIDE
425,Wolves,Fulham,April 9,A,Willian Jose goal disallowed for offside in the build-up against Daniel Podence,45th minute,AGAINST,2020-2021,OFFSIDE
426,Wolves,Burnley,April 25,H,Matej Vydra goal disallowed for offside,50th minute,FOR,2020-2021,OFFSIDE
427,Wolves,Man United,May 23,H,Penalty awarded (missed by Juan Mata but scored on the rebound) for foul on Donny van de Beek by Romain Saiss,45th minute,AGAINST,2020-2021,PENALTY
428,Arsenal,Aston Villa,Nov. 8,H,John McGinn goal disallowed for offside against Ross Barkley,1st minute,FOR,2020-2021,OFFSIDE
429,Arsenal,Leeds,Nov. 22,A,Nicolas Pepe sent off for headbutt on Ezgjan Alioski,51st minute,AGAINST,2020-2021,SENT OFF
430,Arsenal,Burnley,Dec. 13,H,Granit Xhaka sent off for violent conduct on Ashley Westwood,58th minute,AGAINST,2020-2021,SENT OFF
431,Arsenal,Chelsea,Dec. 26,H,Tammy Abraham goal awarded after incorrect offside,85th minute,AGAINST,2020-2021,OFFSIDE
432,Arsenal,Wolves,Feb. 2,A,Bukayo Saka goal disallowed for offside in the build-up against Alexandre Lacazette,9th minute,AGAINST,2020-2021,OFFSIDE
433,Arsenal,Leeds,Feb. 14,H,Penalty cancelled after Liam Cooper adjudged not to have fouled Bukayo Saka,35th minute,AGAINST,2020-2021,PENALTY
434,Arsenal,Leicester,Feb. 28,A,Penalty cancelled as foul on Nicolas Pepe by Wilfred Ndidi deemed outside the area,14th minute,AGAINST,2020-2021,PENALTY
435,Arsenal,Leicester,Feb. 28,A,Penalty awarded (scored by Alexandre Lacazette) for handball against Wilfred Ndidi,45th minute,FOR,2020-2021,PENALTY
436,Arsenal,Burnley,March 6,A,Penalty and red card for handball against Erik Pieters cancelled,85th minute,AGAINST,2020-2021,PENALTY
437,Arsenal,Fulham,April 18,H,Dani Ceballos goal disallowed for offside in the build-up against Bukayo Saka,40th minute,AGAINST,2020-2021,OFFSIDE
438,Arsenal,Everton,April 23,H,Arsenal penalty rescinded for offside in the build-up against Nicolas Pepe,51st minute,AGAINST,2020-2021,PENALTY
439,Arsenal,Chelsea,May 12,A,Christian Pulisic goal disallowed for offside,60th minute,FOR,2020-2021,OFFSIDE
440,Liverpool,Chelsea,Sept. 20,A,Andreas Christensen sent off for denying a goal-scoring opportunity when bringing down Sadio Mane,45th minute,FOR,2020-2021,SENT OFF
441,Liverpool,Everton,Oct. 17,A,Jordan Henderson goal ruled out for offside against Sadio Mane,90th minute,AGAINST,2020-2021,OFFSIDE
442,Liverpool,Sheffield United,Oct. 24,H,Penalty awarded (scored by Sander Berge) for foul on Oliver McBurnie by Fabinho. Factual decision on where foul took place,10th minute,AGAINST,2020-2021,PENALTY
443,Liverpool,Sheffield United,Oct. 24,H,Mohamed Salah goal disallowed for offside,62nd minute,AGAINST,2020-2021,OFFSIDE
444,Liverpool,West Ham,Oct. 31,H,Diojo Jota goal disallowed for a foul by Sadio Mane,82nd minute,AGAINST,2020-2021,FOUL
445,Liverpool,Man City,Nov. 8,A,Penalty awarded (missed by Kevin De Bruyne) for handball against Joe Gomez,41st minute,AGAINST,2020-2021,PENALTY
446,Liverpool,Brighton,Nov. 28,A,Mohamed Salah goal disallowed for offside,35th minute,AGAINST,2020-2021,OFFSIDE
447,Liverpool,Brighton,Nov. 28,A,Offside against Sadio Mane after scoring,85th minute,AGAINST,2020-2021,OFFSIDE
448,Liverpool,Brighton,Nov. 28,A,Penalty awarded (scored by Pascal Gross) for a foul on Danny Welbeck by Andrew Robertson,92nd minute,AGAINST,2020-2021,PENALTY
449,Liverpool,Wolves,Dec. 6,H,"Penalty cancelled, Sadio Mane adjudged not to have fouled Conor Coady",,FOR,2020-2021,PENALTY
450,Liverpool,Fulham,Dec. 13,A,Penalty review rejected by referee Andre Marriner following Fabinho challenge on Ivan Cavaleiro,16th minute,FOR,2020-2021,PENALTY
451,Liverpool,Tottenham,Jan. 28,A,Son Heung-Min goal disallowed for offside in the build-up,3rd minute,FOR,2020-2021,OFFSIDE
452,Liverpool,Tottenham,Jan. 28,A,Mohamed Salah goal ruled out for handball in the build-up by Roberto Firmino,56th minute,AGAINST,2020-2021,HANDBALL
453,Liverpool,Leicester,Feb. 13,A,Penalty cancelled after Thiago's foul on Harvey Barnes adjudged to be outside the area,76th minute,FOR,2020-2021,PENALTY
454,Liverpool,Leicester,Feb. 13,A,James Maddison goal allowed after incorrect offside against Daniel Amartey,79th minute,AGAINST,2020-2021,OFFSIDE
455,Liverpool,Everton,Feb. 20,H,Penalty overturn review rejected after Trent Alexander-Arnold had brought down Dominic Calvert-Lewin,81st minute,AGAINST,2020-2021,PENALTY
456,Liverpool,Chelsea,March 4,H,Timo Werner goal disallowed for offside,24th minute,FOR,2020-2021,OFFSIDE
457,Liverpool,Aston Villa,April 10,H,Roberto Firmino goal ruled out for offside against Diogo Jota in the build-up,45th minute,AGAINST,2020-2021,OFFSIDE
458,Liverpool,Newcastle,April 24,H,Callum Wilson goal disallowed for handball,92nd minute,FOR,2020-2021,HANDBALL
459,Liverpool,Man United,May 13,A,Penalty cancelled for challenge on Nathaniel Phillips by Eric Bailly,27th minute,AGAINST,2020-2021,PENALTY
460,West Brom,Everton,Sept. 19,A,Dominic Calvert-Lewin goal awarded after originally ruled out for offside,31st minute,AGAINST,2020-2021,OFFSIDE
461,West Brom,Man United,Nov. 21,A,WBA penalty cancelled after Bruno Fernandes adjudged not to have fouled Conor Gallagher,47th minute,AGAINST,2020-2021,PENALTY
462,West Brom,Man United,Nov. 21,A,Penalty retake (scored by Bruno Fernandes) after encroachment by Sam Johnstone,56th minute,AGAINST,2020-2021,PENALTY
463,West Brom,Crystal Palace,Dec. 6,H,Matheus Pereira sent off for challenge on Patrick van Aanholt,35th minute,AGAINST,2020-2021,SENT OFF
464,West Brom,Aston Villa,Dec. 20,H,Jake Livermore sent off for high tackle on Jack Grealish,36th minute,AGAINST,2020-2021,SENT OFF
465,West Brom,Aston Villa,Dec. 20,H,Ollie Watkins goal ruled out for offside,72nd minute,FOR,2020-2021,OFFSIDE
466,West Brom,Man City,Jan. 26,H,Ilkay Gundogan goal awarded after incorrect offside against Bernardo Silva,20th minute,AGAINST,2020-2021,OFFSIDE
467,West Brom,Man United,Feb. 14,H,Penalty cancelled after Semi Ajayi adjudged not to have fouled Harry Maguire,64th minute,FOR,2020-2021,PENALTY
468,West Brom,Burnley,Feb. 20,A,Semi Ajayi sent off for handball and denying an obvious goal-scoring opportunity,28th minute,AGAINST,2020-2021,HANDBALL
469,West Brom,Brighton,Feb. 27,H,Penalty conceded (missed by Pascal Gross) for handball against Okay Yokuslu,17th minute,AGAINST,2020-2021,PENALTY
470,West Brom,Brighton,Feb. 27,H,Lewis Dunk goal disallowed as referee Lee Mason had blown his whistle before the ball crossed the line,37th minute,FOR,2020-2021,FOUL
471,West Brom,Crystal Palace,March 13,A,Penalty conceded (scored by Luka Milivojevic) for handball against Darnell Furlong,34th minute,AGAINST,2020-2021,PENALTY
